queue,user,id,name,started_time,peek,cpu_seconds,memory_seconds,time_elapsed
root.hjdq,hjdq,application_1528978566586_250231,CHECK_TASK_province_CRM_DB.ITG_ORDER_ITEM_D_task_607adb48-72ef-11e8-a745-18c58a10ad18_77_20180613_0,2018/6/18 20:15,1878,631693,1297123745,590469
root.hjdq,hjdq,application_1528978566586_223110,CHECK_TASK_bil01_BIL_DB.ITG_FIX_DDR_H_task_535591d6-7279-11e8-99fe-18c58a10ad18_34_20180616_0,2018/6/18 5:57,1861,54709,113973449,919595
root.hjdq,hjdq,application_1528978566586_236734,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_4c09d26c-72b4-11e8-b390-18c58a10ad18_33_20180614_0,2018/6/18 13:07,1850,1393329,2856497445,1616718
root.hjdq,hjdq,application_1528978566586_226879,CHECK_TASK_bil01_BIL_DB.ITG_OTH_VDR_H_task_386b831a-728a-11e8-b5bc-18c58a10ad18_33_20180616_0,2018/6/18 8:01,1802,55351,115286889,1068290
root.hjdq,hjdq,application_1528978566586_249300,CHECK_TASK_province_CRM_DB.ITG_ORDER_ITEM_D_task_7d4793e2-72ea-11e8-9919-18c58a10ad18_11_20180613_0,2018/6/18 19:39,1780,587248,1206305275,662497
root.credit_ct,credit_ct,application_1528978566586_252238,CREATE TABLE TEMP_CRE...prvnce_id=t5.prov_id(Stage-1),2018/6/18 21:37,1771,108701,224579397,223729
root.hjdq,hjdq,application_1528978566586_227051,CHECK_TASK_bil01_BIL_DB.ITG_OTH_VDR_H_task_5c006f60-728b-11e8-a5fa-18c58a10ad18_35_20180616_0,2018/6/18 8:06,1685,907910,1862223915,1634080
root.hjdq,hjdq,application_1528978566586_212326,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_cee5a38a-7248-11e8-a168-18c58a10ad18_35_20180615_0,2018/6/18 0:10,1600,855007,1754079341,1361797
root.hjdq,hjdq,application_1528978566586_253244,CHECK_TASK_province_CRM_DB.ITG_ORDER_ITEM_D_task_492a5204-7301-11e8-b00e-18c58a10ad18_77_20180613_0,2018/6/18 22:17,1574,102679,212325818,178404
root.hjdq,hjdq,application_1528978566586_225493,CHECK_TASK_bil01_BIL_DB.ITG_FIX_DDR_H_task_ca216b96-7283-11e8-85d3-18c58a10ad18_34_20180615_0,2018/6/18 7:14,1554,504925,1036713710,1169762
root.hjdq,hjdq,application_1528978566586_227287,CHECK_TASK_bil01_BIL_DB.ITG_OTH_MDR_H_task_4f1a10d0-728b-11e8-8d8f-18c58a10ad18_35_20180616_0,2018/6/18 8:14,1542,705731,1447322522,1460807
root.hjdq,hjdq,application_1528978566586_252468,CHECK_TASK_province_CRM_DB.ITG_ORD_PROD_INST_D_task_73e72d14-72fc-11e8-ac32-18c58a10ad18_11_20180613_0,2018/6/18 21:42,1541,475174,976198722,507790
root.credit_ct,credit_ct,application_1528978566586_237193,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-2)",2018/6/18 13:22,1532,247391,508270710,703032
root.credit_ct,credit_ct,application_1528978566586_238028,"CREATE TABLE TEMP_CRE...,
t2.day_id,
t1.flag(Stage-2)",2018/6/18 13:49,1524,9049,20060692,287519
root.hjdq,hjdq,application_1528978566586_225871,CHECK_TASK_bil01_BIL_DB.ITG_OTH_DDR_H_task_0d37b8d4-7286-11e8-94c7-18c58a10ad18_33_20180616_0,2018/6/18 7:30,1510,289887,596054084,1110799
root.hjdq,hjdq,application_1528978566586_235340,CHECK_TASK_bil01_BIL_DB.ITG_FIX_DDR_H_task_99ba6d98-72ad-11e8-beb4-18c58a10ad18_34_20180614_0,2018/6/18 12:22,1507,53900,111958650,708736
root.hjdq,hjdq,application_1528978566586_238824,CHECK_TASK_bil01_BIL_DB.ITG_OTH_VDR_H_task_6b712ff0-72bf-11e8-aeba-18c58a10ad18_35_20180614_0,2018/6/18 14:24,1503,86647,179113599,899053
