pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,
wanda-test-riskcontrol--riskcontrol,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,44,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc11022,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,45,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
wanda-test-riskdata--riskdata,server172.11.21.19,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,46,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
wanda-test-riskdata--riskdata,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,46,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc11023,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,47,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
wanda-test-riskfront--riskfront,server172.11.43.27,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,48,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
wanda-test-riskfront--riskfront,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,48,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc11024,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,49,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
wanda-test-riskmanager--riskmanager,server172.11.76.13,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,50,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
wanda-test-riskmanager--riskmanager,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,50,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc11025,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,51,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
wanda-test-riskrule--riskrule,server172.11.3.58,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,52,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
wanda-test-riskrule--riskrule,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,52,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc11118,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,53,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
wanda-test-soaregistercenterpocb--soaregistercenterpocb,server127.0.0.1,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,54,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
wanda-test-soaregistercenterpocb--soaregistercenterpocb,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,54,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
svc11115,FRONTEND,,,0,0,10240,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,10,55,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,
wanda-test-soaregistercenterpocc--soaregistercenterpocc,server127.0.0.1,0,0,0,0,,0,0,0,,0,,0,0,0,0,no check,1,1,0,,,,,,10,56,1,,0,,2,0,,0,,,,0,0,0,0,0,0,0,,,,0,0,,,,,-1,,,0,0,0,0,
wanda-test-soaregistercenterpocc--soaregistercenterpocc,BACKEND,0,0,0,0,1024,0,0,0,0,0,,0,0,0,0,UP,1,1,0,,0,6981,0,,10,56,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,,0,0,0,0,0,0,-1,,,0,0,0,0,
