queue,user,id,name,started_time,finished_time,time_elapsed
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831653,2768d0e2-c087-4eb3-8a01-25f8a8db89d4_hive4trans title 2,2018-07-09 14:01:13,2018-07-09 14:03:06,112
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831351,5e9aaa8c-c24c-4d4f-9235-58b1593859a0_hive4trans title 1,2018-07-09 13:56:38,2018-07-09 13:58:31,112
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_836356,"SELECT '851' AREA_CD,
       '201806' CY...T(Stage-1)",2018-07-09 15:18:31,2018-07-09 15:20:23,112
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831299,9e4f0181-da6c-446b-9e17-c750e375af13_hive4trans title 1,2018-07-09 13:56:38,2018-07-09 13:58:31,112
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831795,68b5b34e-1e52-46dd-802d-b3252956edc1_hive4trans title 1,2018-07-09 14:01:37,2018-07-09 14:03:29,112
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831408,6dc584d4-7ae6-43dd-b5bb-0e209373f1a1_hive4trans title 1,2018-07-09 13:56:45,2018-07-09 13:58:38,112
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831900,bb6623ca-ac6a-4a11-854c-a37977d2cbc0_hive4trans title 2,2018-07-09 14:03:47,2018-07-09 14:05:39,112
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831338,46654389-3df0-46ba-b440-c64f1dc19815_hive4trans title 1,2018-07-09 13:56:36,2018-07-09 13:58:29,112
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831411,ea639b74-1c28-4132-846c-959491cb1f92_hive4trans title 1,2018-07-09 13:56:46,2018-07-09 13:58:38,112
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831769,18858cac-efe0-4ae0-8b67-4ba366ed6660_hive4trans title 1,2018-07-09 14:01:34,2018-07-09 14:03:26,112
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831212,3eec7d80-bea0-44bd-b3f0-beeb5bf9d9be_hive4trans title 1,2018-07-09 13:56:17,2018-07-09 13:58:09,112
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831265,858d51de-c6cb-4623-9fdd-3509d73f9068_hive4trans title 1,2018-07-09 13:56:26,2018-07-09 13:58:18,111
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831343,044e459f-e2d9-4088-87c9-4caa97d3991b_hive4trans title 1,2018-07-09 13:56:55,2018-07-09 13:58:47,111
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831746,45c90551-0f98-403a-ba38-99cc701ec543_hive4trans title 1,2018-07-09 14:01:30,2018-07-09 14:03:22,111
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831771,ba1048e1-2c87-4901-bea0-c079ac039e08_hive4trans title 1,2018-07-09 14:01:34,2018-07-09 14:03:25,111
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831892,7eefafc8-097d-4ac3-8d15-8a97095bfec7_hive4trans title 2,2018-07-09 14:03:36,2018-07-09 14:05:27,111
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831321,b07be0e1-74be-4bab-b61f-02e25bf3883d_hive4trans title 1,2018-07-09 13:56:33,2018-07-09 13:58:25,111
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831792,cc0bdd4c-92ff-4b48-abcc-b978f84fa9e7_hive4trans title 1,2018-07-09 14:01:37,2018-07-09 14:03:28,111
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831259,2e6c47a2-a32b-480a-9ddd-b3ce2a78b243_hive4trans title 1,2018-07-09 13:56:25,2018-07-09 13:58:16,111
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831350,18e91f84-0e9a-4f23-830c-dab83a2b7913_hive4trans title 1,2018-07-09 13:56:38,2018-07-09 13:58:29,110
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831422,1515cfb9-914b-4a3e-b192-6c2bec74b405_hive4trans title 1,2018-07-09 13:56:54,2018-07-09 13:58:45,110
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831727,87d255be-8596-43ef-b21f-057a1316057f_hive4trans title 1,2018-07-09 14:01:27,2018-07-09 14:03:18,110
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_838745,"SELECT '832' AREA_CD,
       '201806' CY...T(Stage-1)",2018-07-09 15:59:51,2018-07-09 16:01:42,110
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_833181,41159a75-5a7d-4b3d-9def-fd7949a10c2f_hive4trans title 2,2018-07-09 14:30:21,2018-07-09 14:32:12,110
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_838791,87536f18-8386-409c-a023-da8a323f284b_hive4trans title 1,2018-07-09 16:00:23,2018-07-09 16:02:13,109
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_838949,"SELECT '861' AREA_CD,
       '201806' C...T1(Stage-2)",2018-07-09 16:03:28,2018-07-09 16:05:18,109
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831375,48456131-b3e5-4f06-a606-b52d289898e9_hive4trans title 1,2018-07-09 13:56:41,2018-07-09 13:58:30,109
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_836477,"SELECT '831' AREA_CD,
       '201806' CY...T(Stage-3)",2018-07-09 15:21:01,2018-07-09 15:22:50,108
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831815,0db24c35-6709-4aa3-80b9-9adac8a04090_hive4trans title 1,2018-07-09 14:01:42,2018-07-09 14:03:30,108
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831710,25f9b052-aa17-44a3-83a3-fb65f488891e_hive4trans title 1,2018-07-09 14:01:25,2018-07-09 14:03:13,107
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_839194,d8f250c4-56bd-424e-aecb-1a1cb8cd0f30_hive4trans title 1,2018-07-09 16:10:22,2018-07-09 16:12:10,107
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_833653,e3e58101-627e-4374-a4d6-2e99960dc74f_hive4trans title 2,2018-07-09 14:35:09,2018-07-09 14:36:56,107
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831253,3ba723bb-d158-4e74-8618-11f764953cdf_hive4trans title 1,2018-07-09 13:56:25,2018-07-09 13:58:12,107
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831399,e0e15836-1948-4dce-a43f-1572e6867dae_hive4trans title 1,2018-07-09 13:56:44,2018-07-09 13:58:31,107
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831385,11c605de-6c5d-45bc-b8d4-a71c473f87cd_hive4trans title 1,2018-07-09 13:56:43,2018-07-09 13:58:30,107
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831717,f6ae7ddd-7a38-477b-96b9-76ec104c1ae3_hive4trans title 1,2018-07-09 14:01:25,2018-07-09 14:03:13,107
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831296,243ee962-4308-48a6-b99a-aadce4367631_hive4trans title 1,2018-07-09 13:56:40,2018-07-09 13:58:27,106
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_835441,19238eb6-a685-4fa4-bb0c-ab6b5bc5b460_hive1,2018-07-09 15:03:43,2018-07-09 15:05:29,106
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831412,fd99fd17-4e77-4acc-8ee6-e164040a362b_hive4trans title 1,2018-07-09 13:56:46,2018-07-09 13:58:33,106
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831245,c858548b-7871-4636-bf6d-91ed0d40b227_hive4trans title 1,2018-07-09 13:56:22,2018-07-09 13:58:09,106
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831705,328e0cdf-190e-4f7b-81b9-3009f8e45e8a_hive4trans title 1,2018-07-09 14:01:24,2018-07-09 14:03:10,106
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831403,fd86a075-ab20-4680-822d-750e013011ef_hive4trans title 1,2018-07-09 13:56:44,2018-07-09 13:58:30,105
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831270,ca9df79c-ae40-48be-a3d6-b322f10eba41_hive4trans title 1,2018-07-09 13:56:27,2018-07-09 13:58:13,105
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831818,74f9dff4-5e85-48a9-94d2-83a304bca04d_hive4trans title 1,2018-07-09 14:01:42,2018-07-09 14:03:28,105
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831314,30bd2e47-dbd0-4c6e-819f-14d47fdf0859_hive4trans title 1,2018-07-09 13:56:33,2018-07-09 13:58:18,105
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_838011,"SELECT '831' AREA_CD,
       '201806' CY...T(Stage-1)",2018-07-09 15:46:16,2018-07-09 15:48:02,105
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831286,cc6db813-abb8-4528-981c-25b4e048e5a2_hive4trans title 1,2018-07-09 13:56:30,2018-07-09 13:58:15,105
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831407,9b0b1191-f3fe-4f2a-9839-b5f1275c88bc_hive4trans title 1,2018-07-09 13:56:45,2018-07-09 13:58:30,105
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831369,3f4f5004-6ae4-4585-a282-412f721abccd_hive4trans title 1,2018-07-09 13:56:41,2018-07-09 13:58:26,105
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831210,2f08dbd5-4abb-4e86-b958-5b2f41aeda70_hive4trans title 1,2018-07-09 13:56:17,2018-07-09 13:58:02,105
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_838950,"SELECT '815' AREA_CD,
       '201806...--匹配率(Stage-5)",2018-07-09 16:03:28,2018-07-09 16:05:13,105
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831718,d4ce0665-edf1-4f63-a619-6064993f3e99_hive4trans title 1,2018-07-09 14:01:25,2018-07-09 14:03:10,105
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831413,98b7be74-ed0d-4ed2-9437-d17980b8a7e1_hive4trans title 1,2018-07-09 13:56:46,2018-07-09 13:58:31,104
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831409,6f7d0448-8924-44f0-bee0-0a94f347af78_hive4trans title 1,2018-07-09 13:56:47,2018-07-09 13:58:31,104
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831667,263281b7-24e3-467b-8984-7cf2a47a8bbf_hive4trans title 2,2018-07-09 14:01:15,2018-07-09 14:03:00,104
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_832925,333b0c8d-a2fa-47c7-a7d1-96c9519b1b8e_record validate,2018-07-09 14:28:19,2018-07-09 14:30:04,104
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831223,931b212a-71be-4df8-8fab-806e608c869f_hive4trans title 1,2018-07-09 13:56:18,2018-07-09 13:58:02,104
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831325,2c7c9dd8-2a09-4989-a596-a648accdcc52_hive4trans title 1,2018-07-09 13:56:35,2018-07-09 13:58:20,104
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831668,c7795a22-ab38-4e5c-a4dd-a9ba04d3280e_hive4trans title 2,2018-07-09 14:01:15,2018-07-09 14:02:59,103
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831676,bdde9f14-5273-4b17-955a-4f9779729766_hive4trans title 1,2018-07-09 14:01:18,2018-07-09 14:03:02,103
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831346,87797e37-1218-4dbd-a135-dbcd7b8ddef0_hive4trans title 1,2018-07-09 13:56:37,2018-07-09 13:58:20,103
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831200,cb83f54f-1092-4d11-a2cb-d6b6a5d06e2d_hive4trans title 1,2018-07-09 13:56:15,2018-07-09 13:57:59,103
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831700,fe17e08c-4985-4e59-be5e-b7eca544efcf_hive4trans title 1,2018-07-09 14:01:24,2018-07-09 14:03:06,102
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831202,5e0455a8-a45a-4d40-8da4-c340fd3fa4a5_hive4trans title 1,2018-07-09 13:56:16,2018-07-09 13:57:59,102
root.priority_queues.proccess.ocdc.prod,ocdc,application_1530160781028_831340,25a26339-2382-4f8c-b312-327934dac253_hive4trans title 1,2018-07-09 13:56:36,2018-07-09 13:58:19,102
