application_id,status,submit_time,start_time,finished_time,allocate_time,total_time
application_1527220447442_451965,SUCCESS,2018/06/01 05:25:13,2018/06/01 05:29:59,2018/06/01 05:39:38,00:4:46,00:14:25,286,865
application_1527220447442_449507,SUCCESS,2018/06/01 04:46:37,2018/06/01 04:52:20,2018/06/01 05:01:00,00:5:43,00:14:23,343,863
application_1527220447442_455118,SUCCESS,2018/06/01 06:19:48,2018/06/01 06:26:57,2018/06/01 06:34:06,00:7:9,00:14:18,429,858
application_1527220447442_452268,SUCCESS,2018/06/01 05:33:53,2018/06/01 05:38:20,2018/06/01 05:48:10,00:4:27,00:14:17,267,857
application_1527220447442_452594,SUCCESS,2018/06/01 05:40:00,2018/06/01 05:46:21,2018/06/01 05:54:14,00:6:21,00:14:14,381,854
application_1527220447442_448913,SUCCESS,2018/06/01 04:33:45,2018/06/01 04:38:21,2018/06/01 04:47:59,00:4:36,00:14:14,276,854
application_1527220447442_452587,SUCCESS,2018/06/01 05:45:21,2018/06/01 05:52:06,2018/06/01 05:59:32,00:6:45,00:14:11,405,851
application_1527220447442_448595,SUCCESS,2018/06/01 04:24:45,2018/06/01 04:28:13,2018/06/01 04:38:54,00:3:28,00:14:9,208,849
application_1527220447442_449880,SUCCESS,2018/06/01 04:51:37,2018/06/01 04:54:34,2018/06/01 05:05:40,00:2:57,00:14:3,177,843
application_1527220447442_451975,SUCCESS,2018/06/01 05:26:33,2018/06/01 05:31:02,2018/06/01 05:40:35,00:4:29,00:14:2,269,842
application_1527220447442_456483,SUCCESS,2018/06/01 06:46:57,2018/06/01 06:53:23,2018/06/01 07:00:58,00:6:26,00:14:1,386,841
application_1527220447442_452892,SUCCESS,2018/06/01 05:45:25,2018/06/01 05:52:18,2018/06/01 05:59:24,00:6:53,00:13:59,413,839
application_1527220447442_455710,SUCCESS,2018/06/01 06:29:48,2018/06/01 06:34:42,2018/06/01 06:43:45,00:4:54,00:13:57,294,837
application_1527220447442_452447,SUCCESS,2018/06/01 05:38:32,2018/06/01 05:42:47,2018/06/01 05:52:28,00:4:15,00:13:56,255,836
application_1527220447442_448157,SUCCESS,2018/06/01 04:19:15,2018/06/01 04:23:57,2018/06/01 04:33:06,00:4:42,00:13:51,282,831
application_1527220447442_434531,SUCCESS,2018/06/01 00:10:52,2018/06/01 00:13:51,2018/06/01 00:24:34,00:2:59,00:13:42,179,822
application_1527220447442_450753,SUCCESS,2018/06/01 05:11:21,2018/06/01 05:18:39,2018/06/01 05:24:59,00:7:18,00:13:38,438,818
application_1527220447442_451845,SUCCESS,2018/06/01 05:24:14,2018/06/01 05:29:33,2018/06/01 05:37:39,00:5:19,00:13:25,319,805
application_1527220447442_445375,SUCCESS,2018/06/01 03:24:46,2018/06/01 03:27:54,2018/06/01 03:38:10,00:3:8,00:13:24,188,804
application_1527220447442_451034,SUCCESS,2018/06/01 05:11:37,2018/06/01 05:18:45,2018/06/01 05:24:59,00:7:8,00:13:22,428,802
application_1527220447442_448137,SUCCESS,2018/06/01 04:17:48,2018/06/01 04:22:18,2018/06/01 04:31:10,00:4:30,00:13:22,270,802
application_1527220447442_450608,SUCCESS,2018/06/01 05:11:40,2018/06/01 05:18:44,2018/06/01 05:24:59,00:7:4,00:13:19,424,799
application_1527220447442_451032,SUCCESS,2018/06/01 05:11:42,2018/06/01 05:18:32,2018/06/01 05:25:01,00:6:50,00:13:19,410,799
application_1527220447442_450871,SUCCESS,2018/06/01 05:11:43,2018/06/01 05:18:33,2018/06/01 05:25:01,00:6:50,00:13:18,410,798
application_1527220447442_441531,SUCCESS,2018/06/01 02:13:17,2018/06/01 02:15:55,2018/06/01 02:26:33,00:2:38,00:13:16,158,796
application_1527220447442_450584,SUCCESS,2018/06/01 05:09:19,2018/06/01 05:17:45,2018/06/01 05:22:34,00:8:26,00:13:15,506,795
application_1527220447442_447862,SUCCESS,2018/06/01 04:15:25,2018/06/01 04:22:09,2018/06/01 04:28:39,00:6:44,00:13:14,404,794
application_1527220447442_450816,SUCCESS,2018/06/01 05:11:57,2018/06/01 05:18:50,2018/06/01 05:25:10,00:6:53,00:13:13,413,793
application_1527220447442_452885,SUCCESS,2018/06/01 05:44:59,2018/06/01 05:52:09,2018/06/01 05:58:10,00:7:10,00:13:11,430,791
application_1527220447442_440506,SUCCESS,2018/06/01 01:47:10,2018/06/01 01:53:41,2018/06/01 02:00:19,00:6:31,00:13:9,391,789
application_1527220447442_453611,SUCCESS,2018/06/01 06:05:12,2018/06/01 06:07:41,2018/06/01 06:18:20,00:2:29,00:13:8,149,788
application_1527220447442_452245,SUCCESS,2018/06/01 05:32:56,2018/06/01 05:37:30,2018/06/01 05:46:01,00:4:34,00:13:5,274,785
application_1527220447442_452250,SUCCESS,2018/06/01 05:32:57,2018/06/01 05:37:41,2018/06/01 05:46:02,00:4:44,00:13:5,284,785
application_1527220447442_456321,SUCCESS,2018/06/01 06:44:26,2018/06/01 06:50:27,2018/06/01 06:57:29,00:6:1,00:13:3,361,783
application_1527220447442_450575,SUCCESS,2018/06/01 05:10:33,2018/06/01 05:16:59,2018/06/01 05:23:35,00:6:26,00:13:2,386,782
application_1527220447442_439351,SUCCESS,2018/06/01 01:22:00,2018/06/01 01:26:57,2018/06/01 01:35:01,00:4:57,00:13:1,297,781
application_1527220447442_451951,SUCCESS,2018/06/01 05:25:42,2018/06/01 05:30:27,2018/06/01 05:38:43,00:4:45,00:13:1,285,781
application_1527220447442_446955,SUCCESS,2018/06/01 04:06:32,2018/06/01 04:08:07,2018/06/01 04:19:33,00:1:35,00:13:1,95,781
application_1527220447442_450982,SUCCESS,2018/06/01 05:12:10,2018/06/01 05:18:42,2018/06/01 05:25:10,00:6:32,00:13:0,392,780
application_1527220447442_452903,SUCCESS,2018/06/01 05:45:09,2018/06/01 05:52:01,2018/06/01 05:58:09,00:6:52,00:13:0,412,780
application_1527220447442_454582,SUCCESS,2018/06/01 06:12:27,2018/06/01 06:15:51,2018/06/01 06:25:26,00:3:24,00:12:59,204,779
application_1527220447442_450953,SUCCESS,2018/06/01 05:12:10,2018/06/01 05:18:42,2018/06/01 05:25:08,00:6:32,00:12:58,392,778
application_1527220447442_452225,SUCCESS,2018/06/01 05:33:04,2018/06/01 05:36:32,2018/06/01 05:46:02,00:3:28,00:12:58,208,778
application_1527220447442_451508,SUCCESS,2018/06/01 05:19:01,2018/06/01 05:23:18,2018/06/01 05:31:58,00:4:17,00:12:57,257,777
application_1527220447442_452226,SUCCESS,2018/06/01 05:32:42,2018/06/01 05:36:11,2018/06/01 05:45:39,00:3:29,00:12:57,209,777
application_1527220447442_452140,SUCCESS,2018/06/01 05:33:08,2018/06/01 05:36:32,2018/06/01 05:46:02,00:3:24,00:12:54,204,774
application_1527220447442_450980,SUCCESS,2018/06/01 05:12:14,2018/06/01 05:18:43,2018/06/01 05:25:08,00:6:29,00:12:54,389,774
application_1527220447442_450874,SUCCESS,2018/06/01 05:11:00,2018/06/01 05:17:30,2018/06/01 05:23:54,00:6:30,00:12:54,390,774
application_1527220447442_452635,SUCCESS,2018/06/01 05:42:20,2018/06/01 05:48:25,2018/06/01 05:55:14,00:6:5,00:12:54,365,774
application_1527220447442_450783,SUCCESS,2018/06/01 05:12:16,2018/06/01 05:19:18,2018/06/01 05:25:08,00:7:2,00:12:52,422,772
application_1527220447442_441095,SUCCESS,2018/06/01 02:05:09,2018/06/01 02:06:34,2018/06/01 02:18:00,00:1:25,00:12:51,85,771
application_1527220447442_452040,SUCCESS,2018/06/01 05:26:00,2018/06/01 05:30:46,2018/06/01 05:38:49,00:4:46,00:12:49,286,769
application_1527220447442_452227,SUCCESS,2018/06/01 05:33:16,2018/06/01 05:36:36,2018/06/01 05:46:04,00:3:20,00:12:48,200,768
application_1527220447442_452159,SUCCESS,2018/06/01 05:31:00,2018/06/01 05:34:53,2018/06/01 05:43:47,00:3:53,00:12:47,233,767
application_1527220447442_446500,SUCCESS,2018/06/01 03:56:34,2018/06/01 04:00:24,2018/06/01 04:09:20,00:3:50,00:12:46,230,766
application_1527220447442_451493,SUCCESS,2018/06/01 05:19:23,2018/06/01 05:23:56,2018/06/01 05:32:08,00:4:33,00:12:45,273,765
application_1527220447442_450814,SUCCESS,2018/06/01 05:12:58,2018/06/01 05:19:31,2018/06/01 05:25:42,00:6:33,00:12:44,393,764
application_1527220447442_450771,SUCCESS,2018/06/01 05:12:59,2018/06/01 05:19:28,2018/06/01 05:25:42,00:6:29,00:12:43,389,763
application_1527220447442_446235,SUCCESS,2018/06/01 03:50:14,2018/06/01 03:55:39,2018/06/01 04:02:56,00:5:25,00:12:42,325,762
application_1527220447442_450616,SUCCESS,2018/06/01 05:12:27,2018/06/01 05:18:41,2018/06/01 05:25:08,00:6:14,00:12:41,374,761
application_1527220447442_450869,SUCCESS,2018/06/01 05:12:31,2018/06/01 05:19:18,2018/06/01 05:25:11,00:6:47,00:12:40,407,760
application_1527220447442_451651,SUCCESS,2018/06/01 05:21:08,2018/06/01 05:26:03,2018/06/01 05:33:43,00:4:55,00:12:35,295,755
application_1527220447442_452111,SUCCESS,2018/06/01 05:28:11,2018/06/01 05:33:01,2018/06/01 05:40:45,00:4:50,00:12:34,290,754
application_1527220447442_453185,SUCCESS,2018/06/01 05:49:44,2018/06/01 05:55:47,2018/06/01 06:02:18,00:6:3,00:12:34,363,754
application_1527220447442_455110,SUCCESS,2018/06/01 06:18:28,2018/06/01 06:22:53,2018/06/01 06:31:01,00:4:25,00:12:33,265,753
application_1527220447442_451000,SUCCESS,2018/06/01 05:13:44,2018/06/01 05:19:45,2018/06/01 05:26:14,00:6:1,00:12:30,361,750
application_1527220447442_456006,SUCCESS,2018/06/01 06:40:53,2018/06/01 06:44:32,2018/06/01 06:53:23,00:3:39,00:12:30,219,750
application_1527220447442_448849,SUCCESS,2018/06/01 04:32:24,2018/06/01 04:34:37,2018/06/01 04:44:53,00:2:13,00:12:29,133,749
