application_id,status,submit_time,start_time,finished_time,allocate_time,total_time,allocate_seconds,total_seconds
application_1527220447442_42220,SUCCESS,2018/05/26 02:20:23,2018/05/26 03:12:30,2018/05/26 03:55:57,00:52:7,01:35:34,3127,5734
application_1527220447442_42864,SUCCESS,2018/05/26 02:25:25,2018/05/26 03:12:53,2018/05/26 04:00:53,00:47:28,01:35:28,2848,5728
application_1527220447442_42866,SUCCESS,2018/05/26 02:25:25,2018/05/26 03:12:54,2018/05/26 04:00:53,00:47:29,01:35:28,2849,5728
application_1527220447442_42931,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:46,2018/05/26 04:03:54,01:25:9,01:35:17,5109,5717
application_1527220447442_42922,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 04:03:54,01:25:10,01:35:17,5110,5717
application_1527220447442_42193,SUCCESS,2018/05/26 02:14:56,2018/05/26 03:12:29,2018/05/26 03:50:07,00:57:33,01:35:11,3453,5711
application_1527220447442_42844,SUCCESS,2018/05/26 02:24:58,2018/05/26 03:12:50,2018/05/26 04:00:02,00:47:52,01:35:4,2872,5704
application_1527220447442_42861,SUCCESS,2018/05/26 02:25:25,2018/05/26 03:12:50,2018/05/26 04:00:02,00:47:25,01:34:37,2845,5677
application_1527220447442_42860,SUCCESS,2018/05/26 02:25:25,2018/05/26 03:12:50,2018/05/26 04:00:02,00:47:25,01:34:37,2845,5677
application_1527220447442_42218,SUCCESS,2018/05/26 02:20:24,2018/05/26 03:12:29,2018/05/26 03:54:59,00:52:5,01:34:35,3125,5675
application_1527220447442_42946,SUCCESS,2018/05/26 02:29:22,2018/05/26 03:53:46,2018/05/26 04:03:56,01:24:24,01:34:34,5064,5674
application_1527220447442_42219,SUCCESS,2018/05/26 02:20:26,2018/05/26 03:12:29,2018/05/26 03:54:59,00:52:3,01:34:33,3123,5673
application_1527220447442_43030,SUCCESS,2018/05/26 02:34:16,2018/05/26 03:53:52,2018/05/26 04:08:46,01:19:36,01:34:30,4776,5670
application_1527220447442_42955,SUCCESS,2018/05/26 02:29:45,2018/05/26 03:53:47,2018/05/26 04:04:13,01:24:2,01:34:28,5042,5668
application_1527220447442_42950,SUCCESS,2018/05/26 02:29:31,2018/05/26 03:53:46,2018/05/26 04:03:56,01:24:15,01:34:25,5055,5665
application_1527220447442_42958,SUCCESS,2018/05/26 02:29:49,2018/05/26 03:53:47,2018/05/26 04:04:13,01:23:58,01:34:24,5038,5664
application_1527220447442_42116,SUCCESS,2018/05/26 02:06:30,2018/05/26 03:12:28,2018/05/26 03:40:53,01:5:58,01:34:23,3958,5663
application_1527220447442_42959,SUCCESS,2018/05/26 02:29:52,2018/05/26 03:53:47,2018/05/26 04:04:13,01:23:55,01:34:21,5035,5661
application_1527220447442_42064,SUCCESS,2018/05/26 02:01:42,2018/05/26 03:12:28,2018/05/26 03:35:35,01:10:46,01:33:53,4246,5633
application_1527220447442_42099,SUCCESS,2018/05/26 02:02:11,2018/05/26 03:12:27,2018/05/26 03:35:51,01:10:16,01:33:40,4216,5620
application_1527220447442_42571,SUCCESS,2018/05/26 02:22:20,2018/05/26 03:12:40,2018/05/26 03:55:30,00:50:20,01:33:10,3020,5590
application_1527220447442_43004,SUCCESS,2018/05/26 02:31:28,2018/05/26 03:53:52,2018/05/26 04:04:10,01:22:24,01:32:42,4944,5562
application_1527220447442_42103,SUCCESS,2018/05/26 02:03:12,2018/05/26 03:12:28,2018/05/26 03:35:51,01:9:16,01:32:39,4156,5559
application_1527220447442_43009,SUCCESS,2018/05/26 02:31:32,2018/05/26 03:53:52,2018/05/26 04:04:10,01:22:20,01:32:38,4940,5558
application_1527220447442_43011,SUCCESS,2018/05/26 02:31:32,2018/05/26 03:53:52,2018/05/26 04:04:10,01:22:20,01:32:38,4940,5558
application_1527220447442_43013,SUCCESS,2018/05/26 02:31:37,2018/05/26 03:53:52,2018/05/26 04:04:10,01:22:15,01:32:33,4935,5553
application_1527220447442_42892,SUCCESS,2018/05/26 02:26:09,2018/05/26 03:53:47,2018/05/26 03:58:29,01:27:38,01:32:20,5258,5540
application_1527220447442_42708,SUCCESS,2018/05/26 02:23:02,2018/05/26 03:12:52,2018/05/26 03:55:22,00:49:50,01:32:20,2990,5540
application_1527220447442_42893,SUCCESS,2018/05/26 02:26:13,2018/05/26 03:53:46,2018/05/26 03:58:29,01:27:33,01:32:16,5253,5536
application_1527220447442_42894,SUCCESS,2018/05/26 02:26:19,2018/05/26 03:53:46,2018/05/26 03:58:29,01:27:27,01:32:10,5247,5530
application_1527220447442_43017,SUCCESS,2018/05/26 02:32:09,2018/05/26 03:53:52,2018/05/26 04:04:14,01:21:43,01:32:5,4903,5525
application_1527220447442_42877,SUCCESS,2018/05/26 02:27:07,2018/05/26 03:53:46,2018/05/26 03:58:29,01:26:39,01:31:22,5199,5482
application_1527220447442_43026,SUCCESS,2018/05/26 02:32:55,2018/05/26 03:53:52,2018/05/26 04:04:14,01:20:57,01:31:19,4857,5479
application_1527220447442_42920,SUCCESS,2018/05/26 02:27:11,2018/05/26 03:53:47,2018/05/26 03:58:29,01:26:36,01:31:18,5196,5478
application_1527220447442_42130,SUCCESS,2018/05/26 02:09:32,2018/05/26 03:12:28,2018/05/26 03:40:20,01:2:56,01:30:48,3776,5448
application_1527220447442_42933,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 03:59:22,01:25:10,01:30:45,5110,5445
application_1527220447442_42134,SUCCESS,2018/05/26 02:09:35,2018/05/26 03:12:28,2018/05/26 03:40:20,01:2:53,01:30:45,3773,5445
application_1527220447442_42936,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 03:59:22,01:25:10,01:30:45,5110,5445
application_1527220447442_42930,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 03:59:22,01:25:10,01:30:45,5110,5445
application_1527220447442_42925,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 03:59:22,01:25:10,01:30:45,5110,5445
application_1527220447442_42935,SUCCESS,2018/05/26 02:28:41,2018/05/26 03:53:47,2018/05/26 03:59:22,01:25:6,01:30:41,5106,5441
application_1527220447442_42940,SUCCESS,2018/05/26 02:28:43,2018/05/26 03:53:48,2018/05/26 03:59:22,01:25:5,01:30:39,5105,5439
application_1527220447442_42939,SUCCESS,2018/05/26 02:28:43,2018/05/26 03:53:47,2018/05/26 03:59:22,01:25:4,01:30:39,5104,5439
application_1527220447442_42941,SUCCESS,2018/05/26 02:28:51,2018/05/26 03:53:48,2018/05/26 03:59:22,01:24:57,01:30:31,5097,5431
application_1527220447442_42048,SUCCESS,2018/05/26 02:00:12,2018/05/26 03:12:27,2018/05/26 03:30:39,01:12:15,01:30:27,4335,5427
application_1527220447442_42942,SUCCESS,2018/05/26 02:28:59,2018/05/26 03:53:47,2018/05/26 03:59:22,01:24:48,01:30:23,5088,5423
application_1527220447442_42139,SUCCESS,2018/05/26 02:10:06,2018/05/26 03:12:29,2018/05/26 03:40:20,01:2:23,01:30:14,3743,5414
application_1527220447442_42141,SUCCESS,2018/05/26 02:10:11,2018/05/26 03:12:28,2018/05/26 03:40:20,01:2:17,01:30:9,3737,5409
application_1527220447442_42050,SUCCESS,2018/05/26 02:00:15,2018/05/26 03:12:26,2018/05/26 03:30:23,01:12:11,01:30:8,4331,5408
application_1527220447442_42144,SUCCESS,2018/05/26 02:10:21,2018/05/26 03:12:29,2018/05/26 03:40:20,01:2:8,01:29:59,3728,5399
application_1527220447442_42921,SUCCESS,2018/05/26 02:28:34,2018/05/26 03:53:46,2018/05/26 03:58:29,01:25:12,01:29:55,5112,5395
application_1527220447442_42926,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:46,2018/05/26 03:58:29,01:25:9,01:29:52,5109,5392
application_1527220447442_42923,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 03:58:25,01:25:10,01:29:48,5110,5388
application_1527220447442_42937,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 03:58:25,01:25:10,01:29:48,5110,5388
application_1527220447442_42929,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 03:58:25,01:25:10,01:29:48,5110,5388
application_1527220447442_42927,SUCCESS,2018/05/26 02:28:37,2018/05/26 03:53:47,2018/05/26 03:58:25,01:25:10,01:29:48,5110,5388
