application_id,status,submit_time,start_time,finished_time,allocate_time,total_time
application_1527220447442_457165,SUCCESS,2018/06/01 07:02:44,2018/06/01 07:04:39,2018/06/01 07:11:22,00:1:55,00:8:38
application_1527220447442_455711,SUCCESS,2018/06/01 06:31:00,2018/06/01 06:37:02,2018/06/01 06:39:38,00:6:2,00:8:38
application_1527220447442_453475,SUCCESS,2018/06/01 05:59:35,2018/06/01 06:04:24,2018/06/01 06:08:13,00:4:49,00:8:38
application_1527220447442_454171,SUCCESS,2018/06/01 06:11:52,2018/06/01 06:15:55,2018/06/01 06:20:28,00:4:3,00:8:36
application_1527220447442_454708,SUCCESS,2018/06/01 06:15:44,2018/06/01 06:19:32,2018/06/01 06:24:19,00:3:48,00:8:35
application_1527220447442_452897,SUCCESS,2018/06/01 05:45:53,2018/06/01 05:52:11,2018/06/01 05:54:28,00:6:18,00:8:35
application_1527220447442_449572,SUCCESS,2018/06/01 04:46:54,2018/06/01 04:52:19,2018/06/01 04:55:29,00:5:25,00:8:35
application_1527220447442_455089,SUCCESS,2018/06/01 06:18:00,2018/06/01 06:21:40,2018/06/01 06:26:35,00:3:40,00:8:35
application_1527220447442_456410,SUCCESS,2018/06/01 06:45:58,2018/06/01 06:53:07,2018/06/01 06:54:32,00:7:9,00:8:34
application_1527220447442_447640,SUCCESS,2018/06/01 04:14:17,2018/06/01 04:19:29,2018/06/01 04:22:51,00:5:12,00:8:34
application_1527220447442_452290,SUCCESS,2018/06/01 05:40:00,2018/06/01 05:46:38,2018/06/01 05:48:34,00:6:38,00:8:34
application_1527220447442_448147,SUCCESS,2018/06/01 04:18:04,2018/06/01 04:23:13,2018/06/01 04:26:37,00:5:9,00:8:33
application_1527220447442_447031,SUCCESS,2018/06/01 04:09:16,2018/06/01 04:13:37,2018/06/01 04:17:49,00:4:21,00:8:33
application_1527220447442_452172,SUCCESS,2018/06/01 05:30:17,2018/06/01 05:33:54,2018/06/01 05:38:50,00:3:37,00:8:33
application_1527220447442_451836,SUCCESS,2018/06/01 05:23:56,2018/06/01 05:28:50,2018/06/01 05:32:28,00:4:54,00:8:32
application_1527220447442_451833,SUCCESS,2018/06/01 05:23:56,2018/06/01 05:28:50,2018/06/01 05:32:28,00:4:54,00:8:32
application_1527220447442_460140,SUCCESS,2018/06/01 07:47:18,2018/06/01 07:51:58,2018/06/01 07:55:49,00:4:40,00:8:31
application_1527220447442_453253,SUCCESS,2018/06/01 05:51:02,2018/06/01 05:56:32,2018/06/01 05:59:33,00:5:30,00:8:31
application_1527220447442_452599,SUCCESS,2018/06/01 05:39:50,2018/06/01 05:45:57,2018/06/01 05:48:21,00:6:7,00:8:31
application_1527220447442_453426,SUCCESS,2018/06/01 05:57:24,2018/06/01 06:01:42,2018/06/01 06:05:55,00:4:18,00:8:31
application_1527220447442_449039,SUCCESS,2018/06/01 04:36:05,2018/06/01 04:38:25,2018/06/01 04:44:35,00:2:20,00:8:30
application_1527220447442_454149,SUCCESS,2018/06/01 06:10:09,2018/06/01 06:14:02,2018/06/01 06:18:39,00:3:53,00:8:30
application_1527220447442_455178,SUCCESS,2018/06/01 06:19:24,2018/06/01 06:26:57,2018/06/01 06:27:53,00:7:33,00:8:29
application_1527220447442_455174,SUCCESS,2018/06/01 06:20:03,2018/06/01 06:26:55,2018/06/01 06:28:31,00:6:52,00:8:28
application_1527220447442_455704,SUCCESS,2018/06/01 06:29:24,2018/06/01 06:34:37,2018/06/01 06:37:52,00:5:13,00:8:28
application_1527220447442_448148,SUCCESS,2018/06/01 04:17:43,2018/06/01 04:22:11,2018/06/01 04:26:11,00:4:28,00:8:28
application_1527220447442_452910,SUCCESS,2018/06/01 05:46:01,2018/06/01 05:52:09,2018/06/01 05:54:29,00:6:8,00:8:28
application_1527220447442_447628,SUCCESS,2018/06/01 04:12:48,2018/06/01 04:17:07,2018/06/01 04:21:16,00:4:19,00:8:28
application_1527220447442_438652,SUCCESS,2018/06/01 01:13:17,2018/06/01 01:17:11,2018/06/01 01:21:45,00:3:54,00:8:28
application_1527220447442_449281,SUCCESS,2018/06/01 04:40:00,2018/06/01 04:43:48,2018/06/01 04:48:27,00:3:48,00:8:27
application_1527220447442_455720,SUCCESS,2018/06/01 06:29:31,2018/06/01 06:34:41,2018/06/01 06:37:58,00:5:10,00:8:27
application_1527220447442_434799,SUCCESS,2018/06/01 00:13:33,2018/06/01 00:18:12,2018/06/01 00:22:00,00:4:39,00:8:27
application_1527220447442_454162,SUCCESS,2018/06/01 06:10:13,2018/06/01 06:13:41,2018/06/01 06:18:40,00:3:28,00:8:27
application_1527220447442_456246,SUCCESS,2018/06/01 06:41:34,2018/06/01 06:45:40,2018/06/01 06:50:01,00:4:6,00:8:27
application_1527220447442_452884,SUCCESS,2018/06/01 05:46:03,2018/06/01 05:52:13,2018/06/01 05:54:29,00:6:10,00:8:26
application_1527220447442_454686,SUCCESS,2018/06/01 06:13:45,2018/06/01 06:18:50,2018/06/01 06:22:11,00:5:5,00:8:26
application_1527220447442_451939,SUCCESS,2018/06/01 05:24:12,2018/06/01 05:29:37,2018/06/01 05:32:37,00:5:25,00:8:25
application_1527220447442_454289,SUCCESS,2018/06/01 06:10:15,2018/06/01 06:13:42,2018/06/01 06:18:40,00:3:27,00:8:25
application_1527220447442_448104,SUCCESS,2018/06/01 04:18:13,2018/06/01 04:22:59,2018/06/01 04:26:38,00:4:46,00:8:25
application_1527220447442_448146,SUCCESS,2018/06/01 04:18:14,2018/06/01 04:22:59,2018/06/01 04:26:38,00:4:45,00:8:24
application_1527220447442_454284,SUCCESS,2018/06/01 06:10:17,2018/06/01 06:13:42,2018/06/01 06:18:40,00:3:25,00:8:23
application_1527220447442_443053,SUCCESS,2018/06/01 02:39:09,2018/06/01 02:43:19,2018/06/01 02:47:32,00:4:10,00:8:23
application_1527220447442_452237,SUCCESS,2018/06/01 05:37:06,2018/06/01 05:40:59,2018/06/01 05:45:29,00:3:53,00:8:23
application_1527220447442_448085,SUCCESS,2018/06/01 04:18:14,2018/06/01 04:23:14,2018/06/01 04:26:37,00:5:0,00:8:23
application_1527220447442_440866,SUCCESS,2018/06/01 01:55:47,2018/06/01 01:59:00,2018/06/01 02:04:08,00:3:13,00:8:21
