application_id,status,submit_time,start_time,finished_time,allocate_time,total_time,allocate_seconds,total_seconds
application_1529601806040_189002,SUCCESS,2018/6/25 22:11,2018/6/25 22:15,2018/6/25 22:16,0:04:03,0:04:53,243,293
application_1529601806040_178591,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:32,0:04:03,0:05:08,243,308
application_1529601806040_169483,SUCCESS,2018/6/25 17:38,2018/6/25 17:42,2018/6/25 17:44,0:04:03,0:05:41,243,341
application_1529601806040_156936,SUCCESS,2018/6/25 13:05,2018/6/25 13:09,2018/6/25 13:11,0:04:03,0:05:34,243,334
application_1529601806040_189268,SUCCESS,2018/6/25 22:15,2018/6/25 22:19,2018/6/25 22:20,0:04:03,0:04:56,243,296
application_1529601806040_163182,SUCCESS,2018/6/25 15:30,2018/6/25 15:34,2018/6/25 15:36,0:04:03,0:05:30,243,330
application_1529601806040_183771,SUCCESS,2018/6/25 21:30,2018/6/25 21:34,2018/6/25 21:35,0:04:03,0:04:47,243,287
application_1529601806040_178393,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:32,0:04:03,0:04:38,243,278
application_1529601806040_168782,SUCCESS,2018/6/25 17:27,2018/6/25 17:31,2018/6/25 17:31,0:04:03,0:04:38,243,278
application_1529601806040_178386,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:32,0:04:03,0:05:15,243,315
application_1529601806040_177588,SUCCESS,2018/6/25 20:16,2018/6/25 20:20,2018/6/25 20:21,0:04:03,0:05:30,243,330
application_1529601806040_177564,SUCCESS,2018/6/25 20:16,2018/6/25 20:20,2018/6/25 20:21,0:04:03,0:05:14,243,314
application_1529601806040_188928,SUCCESS,2018/6/25 22:11,2018/6/25 22:15,2018/6/25 22:17,0:04:03,0:05:52,243,352
application_1529601806040_178535,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:32,0:04:03,0:05:16,243,316
application_1529601806040_167927,SUCCESS,2018/6/25 17:10,2018/6/25 17:14,2018/6/25 17:16,0:04:03,0:05:21,243,321
application_1529601806040_173151,SUCCESS,2018/6/25 18:43,2018/6/25 18:47,2018/6/25 18:48,0:04:03,0:05:17,243,317
application_1529601806040_156482,SUCCESS,2018/6/25 12:55,2018/6/25 12:59,2018/6/25 12:59,0:04:03,0:04:32,243,272
application_1529601806040_192530,SUCCESS,2018/6/25 22:45,2018/6/25 22:49,2018/6/25 22:51,0:04:03,0:05:30,243,330
application_1529601806040_181637,SUCCESS,2018/6/25 21:09,2018/6/25 21:13,2018/6/25 21:14,0:04:03,0:05:05,243,305
application_1529601806040_176537,SUCCESS,2018/6/25 19:53,2018/6/25 19:57,2018/6/25 19:59,0:04:03,0:06:25,243,385
application_1529601806040_180260,SUCCESS,2018/6/25 20:49,2018/6/25 20:53,2018/6/25 20:55,0:04:03,0:06:00,243,360
application_1529601806040_168853,SUCCESS,2018/6/25 17:28,2018/6/25 17:32,2018/6/25 17:33,0:04:03,0:04:58,243,298
application_1529601806040_192518,SUCCESS,2018/6/25 22:45,2018/6/25 22:49,2018/6/25 22:51,0:04:03,0:05:30,243,330
application_1529601806040_182986,SUCCESS,2018/6/25 21:24,2018/6/25 21:28,2018/6/25 21:30,0:04:03,0:06:15,243,375
application_1529601806040_183762,SUCCESS,2018/6/25 21:30,2018/6/25 21:34,2018/6/25 21:38,0:04:03,0:07:41,243,461
application_1529601806040_156487,SUCCESS,2018/6/25 12:55,2018/6/25 12:59,2018/6/25 13:01,0:04:03,0:05:42,243,342
application_1529601806040_178499,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:34,0:04:03,0:06:52,243,412
application_1529601806040_196911,SUCCESS,2018/6/25 23:44,2018/6/25 23:48,2018/6/25 23:50,0:04:03,0:06:27,243,387
application_1529601806040_178531,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:36,0:04:03,0:08:48,243,528
application_1529601806040_168849,SUCCESS,2018/6/25 17:28,2018/6/25 17:32,2018/6/25 17:35,0:04:03,0:06:52,243,412
application_1529601806040_175433,SUCCESS,2018/6/25 19:34,2018/6/25 19:39,2018/6/25 19:41,0:04:03,0:06:57,243,417
application_1529601806040_189347,SUCCESS,2018/6/25 22:15,2018/6/25 22:20,2018/6/25 22:20,0:04:03,0:04:56,243,296
application_1529601806040_154530,SUCCESS,2018/6/25 12:14,2018/6/25 12:19,2018/6/25 12:21,0:04:03,0:06:26,243,386
application_1529601806040_171171,SUCCESS,2018/6/25 18:10,2018/6/25 18:14,2018/6/25 18:17,0:04:03,0:07:20,243,440
application_1529601806040_182426,SUCCESS,2018/6/25 21:19,2018/6/25 21:23,2018/6/25 21:23,0:04:03,0:04:57,243,297
application_1529601806040_184443,SUCCESS,2018/6/25 21:35,2018/6/25 21:39,2018/6/25 21:42,0:04:03,0:06:31,243,391
application_1529601806040_172214,SUCCESS,2018/6/25 18:25,2018/6/25 18:29,2018/6/25 18:32,0:04:03,0:06:30,243,390
application_1529601806040_183757,SUCCESS,2018/6/25 21:30,2018/6/25 21:34,2018/6/25 21:35,0:04:03,0:04:43,243,283
application_1529601806040_192683,SUCCESS,2018/6/25 22:45,2018/6/25 22:49,2018/6/25 22:54,0:04:03,0:08:54,243,534
application_1529601806040_178570,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:32,0:04:03,0:04:41,243,281
application_1529601806040_184278,SUCCESS,2018/6/25 21:35,2018/6/25 21:39,2018/6/25 21:41,0:04:03,0:06:20,243,380
application_1529601806040_178569,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:35,0:04:03,0:07:44,243,464
application_1529601806040_154810,SUCCESS,2018/6/25 12:21,2018/6/25 12:25,2018/6/25 12:26,0:04:03,0:04:46,243,286
application_1529601806040_184877,SUCCESS,2018/6/25 21:40,2018/6/25 21:44,2018/6/25 21:48,0:04:03,0:08:34,243,514
application_1529601806040_189028,SUCCESS,2018/6/25 22:12,2018/6/25 22:16,2018/6/25 22:26,0:04:03,0:14:05,243,845
application_1529601806040_183664,SUCCESS,2018/6/25 21:29,2018/6/25 21:34,2018/6/25 21:34,0:04:03,0:05:01,243,301
application_1529601806040_178841,SUCCESS,2018/6/25 20:32,2018/6/25 20:36,2018/6/25 20:37,0:04:03,0:05:05,243,305
application_1529601806040_183788,SUCCESS,2018/6/25 21:30,2018/6/25 21:34,2018/6/25 21:38,0:04:03,0:07:39,243,459
application_1529601806040_168747,SUCCESS,2018/6/25 17:28,2018/6/25 17:32,2018/6/25 17:33,0:04:03,0:04:58,243,298
application_1529601806040_178993,SUCCESS,2018/6/25 20:32,2018/6/25 20:36,2018/6/25 20:38,0:04:03,0:05:06,243,306
application_1529601806040_178529,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:35,0:04:03,0:07:44,243,464
application_1529601806040_173938,SUCCESS,2018/6/25 19:02,2018/6/25 19:06,2018/6/25 19:08,0:04:03,0:05:59,243,359
application_1529601806040_172434,SUCCESS,2018/6/25 18:32,2018/6/25 18:36,2018/6/25 18:39,0:04:03,0:07:05,243,425
application_1529601806040_183769,SUCCESS,2018/6/25 21:30,2018/6/25 21:34,2018/6/25 21:37,0:04:03,0:06:38,243,398
application_1529601806040_169802,SUCCESS,2018/6/25 17:42,2018/6/25 17:46,2018/6/25 17:51,0:04:03,0:08:41,243,521
application_1529601806040_183773,SUCCESS,2018/6/25 21:31,2018/6/25 21:35,2018/6/25 21:41,0:04:03,0:10:50,243,650
application_1529601806040_192076,SUCCESS,2018/6/25 22:40,2018/6/25 22:44,2018/6/25 22:46,0:04:03,0:05:40,243,340
application_1529601806040_192686,SUCCESS,2018/6/25 22:45,2018/6/25 22:49,2018/6/25 22:51,0:04:03,0:05:27,243,327
application_1529601806040_177525,SUCCESS,2018/6/25 20:16,2018/6/25 20:20,2018/6/25 20:21,0:04:03,0:05:30,243,330
application_1529601806040_178397,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:32,0:04:03,0:05:14,243,314
application_1529601806040_155004,SUCCESS,2018/6/25 12:26,2018/6/25 12:30,2018/6/25 12:32,0:04:03,0:06:15,243,375
application_1529601806040_190583,SUCCESS,2018/6/25 22:27,2018/6/25 22:31,2018/6/25 22:32,0:04:03,0:05:17,243,317
application_1529601806040_178556,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:35,0:04:03,0:07:43,243,463
application_1529601806040_178557,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:35,0:04:03,0:07:44,243,464
application_1529601806040_177854,SUCCESS,2018/6/25 20:21,2018/6/25 20:25,2018/6/25 20:28,0:04:03,0:07:46,243,466
application_1529601806040_163317,SUCCESS,2018/6/25 15:34,2018/6/25 15:38,2018/6/25 15:39,0:04:03,0:05:08,243,308
application_1529601806040_189311,SUCCESS,2018/6/25 22:15,2018/6/25 22:19,2018/6/25 22:20,0:04:03,0:04:56,243,296
application_1529601806040_169829,SUCCESS,2018/6/25 17:43,2018/6/25 17:47,2018/6/25 17:49,0:04:03,0:05:51,243,351
application_1529601806040_192516,SUCCESS,2018/6/25 22:47,2018/6/25 22:51,2018/6/25 22:52,0:04:03,0:05:11,243,311
application_1529601806040_192810,SUCCESS,2018/6/25 22:47,2018/6/25 22:51,2018/6/25 22:54,0:04:03,0:07:20,243,440
application_1529601806040_178560,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:35,0:04:03,0:07:46,243,466
application_1529601806040_183661,SUCCESS,2018/6/25 21:29,2018/6/25 21:33,2018/6/25 21:34,0:04:03,0:04:59,243,299
application_1529601806040_172571,SUCCESS,2018/6/25 18:34,2018/6/25 18:38,2018/6/25 18:39,0:04:03,0:05:13,243,313
application_1529601806040_196520,SUCCESS,2018/6/25 23:39,2018/6/25 23:43,2018/6/25 23:45,0:04:03,0:05:43,243,343
application_1529601806040_178407,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:32,0:04:03,0:04:37,243,277
application_1529601806040_156807,SUCCESS,2018/6/25 13:00,2018/6/25 13:04,2018/6/25 13:06,0:04:03,0:05:18,243,318
application_1529601806040_192104,SUCCESS,2018/6/25 22:40,2018/6/25 22:44,2018/6/25 22:46,0:04:02,0:05:41,242,341
application_1529601806040_184456,SUCCESS,2018/6/25 21:35,2018/6/25 21:39,2018/6/25 21:43,0:04:02,0:08:15,242,495
application_1529601806040_184439,SUCCESS,2018/6/25 21:35,2018/6/25 21:39,2018/6/25 21:40,0:04:02,0:05:25,242,325
application_1529601806040_178394,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:34,0:04:02,0:06:48,242,408
application_1529601806040_184802,SUCCESS,2018/6/25 21:38,2018/6/25 21:42,2018/6/25 21:45,0:04:02,0:06:54,242,414
application_1529601806040_189371,SUCCESS,2018/6/25 22:16,2018/6/25 22:20,2018/6/25 22:22,0:04:02,0:06:23,242,383
application_1529601806040_192783,SUCCESS,2018/6/25 22:47,2018/6/25 22:51,2018/6/25 22:52,0:04:02,0:05:14,242,314
application_1529601806040_183053,SUCCESS,2018/6/25 21:24,2018/6/25 21:28,2018/6/25 21:33,0:04:02,0:08:12,242,492
application_1529601806040_192745,SUCCESS,2018/6/25 22:47,2018/6/25 22:51,2018/6/25 22:52,0:04:02,0:05:10,242,310
application_1529601806040_177887,SUCCESS,2018/6/25 20:21,2018/6/25 20:25,2018/6/25 20:29,0:04:02,0:07:55,242,475
application_1529601806040_175011,SUCCESS,2018/6/25 19:26,2018/6/25 19:30,2018/6/25 19:31,0:04:02,0:04:55,242,295
application_1529601806040_184446,SUCCESS,2018/6/25 21:35,2018/6/25 21:39,2018/6/25 21:40,0:04:02,0:04:31,242,271
application_1529601806040_178538,SUCCESS,2018/6/25 20:27,2018/6/25 20:31,2018/6/25 20:32,0:04:02,0:05:15,242,315
application_1529601806040_180257,SUCCESS,2018/6/25 20:49,2018/6/25 20:53,2018/6/25 20:55,0:04:02,0:05:56,242,356
application_1529601806040_183756,SUCCESS,2018/6/25 21:30,2018/6/25 21:34,2018/6/25 21:41,0:04:02,0:10:05,242,605
application_1529601806040_178907,SUCCESS,2018/6/25 20:32,2018/6/25 20:36,2018/6/25 20:39,0:04:02,0:06:29,242,389
application_1529601806040_196841,SUCCESS,2018/6/25 23:43,2018/6/25 23:47,2018/6/25 23:49,0:04:02,0:05:39,242,339
application_1529601806040_196915,SUCCESS,2018/6/25 23:44,2018/6/25 23:48,2018/6/25 23:50,0:04:02,0:06:34,242,394
application_1529601806040_168717,SUCCESS,2018/6/25 17:28,2018/6/25 17:32,2018/6/25 17:33,0:04:02,0:04:57,242,297
application_1529601806040_158698,SUCCESS,2018/6/25 13:46,2018/6/25 13:50,2018/6/25 13:52,0:04:02,0:05:21,242,321
application_1529601806040_183776,SUCCESS,2018/6/25 21:30,2018/6/25 21:34,2018/6/25 21:35,0:04:02,0:04:45,242,285
application_1529601806040_163713,SUCCESS,2018/6/25 15:42,2018/6/25 15:46,2018/6/25 15:47,0:04:02,0:05:30,242,330
application_1529601806040_172574,SUCCESS,2018/6/25 18:34,2018/6/25 18:38,2018/6/25 18:39,0:04:02,0:05:14,242,314
application_1529601806040_175444,SUCCESS,2018/6/25 19:34,2018/6/25 19:38,2018/6/25 19:41,0:04:02,0:06:47,242,407
application_1529601806040_192441,SUCCESS,2018/6/25 22:43,2018/6/25 22:47,2018/6/25 22:52,0:04:02,0:08:38,242,518
application_1529601806040_172575,SUCCESS,2018/6/25 18:34,2018/6/25 18:38,2018/6/25 18:39,0:04:02,0:05:14,242,314
application_1529601806040_175575,SUCCESS,2018/6/25 19:36,2018/6/25 19:40,2018/6/25 19:41,0:04:02,0:04:58,242,298
